# Average windspeeds at the sites of 8263 new windmills in Deutschland  at 175m 
# sites from https://www.marktstammdatenregister.de/MaStR 20260101 running since 2024 or planned
# windspeeds from https://opendata.dwd.de/.../cosmo_rea6 hourly in 2014
# written ~bz/py/wind/markt/new/newwindmills.py 2026-02-19 Feb 15:20 

Cosmowind175	Cosmocap175	AGS	State	MW	Lat	Lon	Thi	Rotor	Date	Lkr	Place

7.73	48	12060	BB	7.2	52.6534	13.66	169	162	2027-09-30	Barnim	Bernau
7.73	48	12060	BB	7.2	52.6527	13.6742	169	162	2027-09-30	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6768	13.7135	164	16	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6826	13.6973	185	170	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6853	13.7014	185	170	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6821	13.7025	185	170	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6807	13.7124	164	163	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	7	52.6888	13.6989	185	170	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	6.2	52.6966	13.7137	169	162	2026-06-01	Barnim	Werneuchen
7.73	48	12060	BB	6.2	52.6969	13.7207	169	162	2026-03-31	Barnim	Werneuchen
7.73	48	12060	BB	6.2	52.6911	13.6788	169	162	2026-06-01	Barnim	Werneuchen
7.73	48	12060	BB	6.2	52.6955	13.6989	169	162	2026-06-01	Barnim	Sydower_Fließ
7.73	48	12060	BB	5.6	52.6061	13.7108	166	150	2026-12-31	Barnim	Werneuchen
7.73	48	12060	BB	4.2	52.6094	13.6967	160	138	2025-04-17	Barnim	Werneuchen
7.73	48	12060	BB	3.45	52.6962	13.6799	142	117	2026-07-15	Barnim	Sydower_Fließ
7.73	48	12060	BB	7.2	52.649	13.6759	169	162	2027-09-30	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.6884	13.7017	175	172	2027-06-30	Barnim	Sydower_Fließ
7.73	48	12060	BB	7.2	52.6462	13.6683	169	162	2027-09-30	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.6496	13.6681	169	162	2027-09-30	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.6497	13.6581	169	162	2027-09-30	Barnim	Bernau
7.73	48	12060	BB	7.2	52.6826	13.692	175	172	2026-08-01	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.6701	13.7434	175	172	2028-07-01	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.6522	13.6792	167	160	2027-09-30	Barnim	Werneuchen
7.73	48	12060	BB	7.2	52.694	13.7087	175	172	2027-06-30	Barnim	Sydower_Fließ
7.73	48	12060	BB	7.2	52.6934	13.6759	175	172	2026-08-01	Barnim	Werneuchen
7.68	47	12060	BB	6.8	52.6097	13.5368	164	163	2026-03-01	Barnim	Ahrensfelde
7.68	47	12060	BB	6.8	52.6135	13.5336	164	163	2024-07-23	Barnim	Ahrensfelde
7.68	47	12060	BB	6.8	52.6117	13.5413	164	163	2025-12-18	Barnim	Ahrensfelde
7.61	47	12060	BB	5.6	52.5955	13.644	166	150	2026-12-31	Barnim	Ahrensfelde
7.61	47	12060	BB	5.6	52.5977	13.6563	166	162	2026-06-30	Barnim	Ahrensfelde
7.59	46	12060	BB	7.2	52.588	13.6649	169	162	2026-12-31	Barnim	Werneuchen
7.59	46	12060	BB	7.2	52.5858	13.6692	169	162	2026-12-31	Barnim	Werneuchen
7.31	44	12060	BB	5.56	52.7854	13.5947	167	160	2029-12-31	Barnim	Biesenthal
7.31	44	12060	BB	5.56	52.7946	13.5836	167	160	2028-12-01	Barnim	Biesenthal
7.31	44	12060	BB	5.56	52.7913	13.5882	167	160	2028-05-01	Barnim	Biesenthal
7.31	44	12060	BB	5.56	52.7877	13.5903	167	160	2028-05-01	Barnim	Biesenthal
7.28	44	12060	BB	4.2	52.878	13.7591	166	136	2026-12-01	Barnim	Schorfheide
7.28	44	12060	BB	3.3	52.8799	13.7507	137	126	2026-12-01	Barnim	Schorfheide
7.28	44	12060	BB	5.6	52.8772	13.7665	166	162	2027-12-31	Barnim	Schorfheide
7.18	43	12060	BB	5.6	52.8673	13.772	166	162	2027-12-31	Barnim	Schorfheide
7.18	43	12060	BB	5.6	52.8705	13.7774	166	162	2027-12-31	Barnim	Eberswalde
6.96	40	12052	BB	6	51.7968	14.4573	167	164	2027-11-15	Cottbus	Cottbus
