# 5784 Windmills in Deutschland, running since 2024 or planned
# from https://www.marktstammdatenregister.de/MaStR Gesamtdatenexport_20250601_25.1.zip
# "KW" is the maximum at wind ~ 40 km/h; electricity generated over a year might be 1/4 of max
# written ~bz marktstamm/Bayern/area-year.py 2025-11-23 Nov 17:27 

State	KW	Lon	Lat	Thi	Rotor	Date	Lkr	Place	Type
BB	6800	14.3136	52.0507	165	163	2024-01-10	Dahme-Spreewald	Lieberose	N163-6.8_MW
BB	5700	13.7933	52.6801	164	163	2024-01-13	Märkisch-Oderland	Beiersdorf-Freudenberg	N163/5.X
BB	5600	13.9529	53.2591	166	162	2024-01-16	Uckermark	Uckerfelde	V162
BB	5600	13.9407	53.2563	166	162	2024-01-19	Uckermark	Uckerfelde	V162
BB	5600	13.9525	53.2554	166	162	2024-01-20	Uckermark	Uckerfelde	V162
BB	5600	13.9467	53.256	166	162	2024-01-20	Uckermark	Uckerfelde	V162
BB	5700	13.3922	51.9127	119	163	2024-01-30	Teltow-Fläming	Ihlow	N163-5.7_MW
BB	5600	13.8521	53.3985	148	162	2024-01-31	Uckermark	Uckerland	V162-5.6
BB	4200	14.0022	52.6595	160	138	2024-02-14	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E7
BB	4200	14.0066	52.6613	160	138	2024-02-15	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E6
BB	4200	13.9861	52.6541	160	138	2024-02-20	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E8
BB	4200	13.9996	52.6491	160	138	2024-02-21	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E9
BB	4200	14.0025	52.6451	160	138	2024-02-26	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E10
BB	4200	13.9934	52.6542	160	138	2024-02-27	Märkisch-Oderland	Prötzel	E-138_EP3_E3
BB	6000	13.9554	53.3302	148	150	2024-02-27	Uckermark	Prenzlau	V150-6.0MW
BB	4200	13.9845	52.6496	160	138	2024-03-04	Märkisch-Oderland	Prötzel	E-138_EP3_E2
BB	4200	13.9917	52.6498	160	138	2024-03-04	Märkisch-Oderland	Prötzel	E-138_EP3_E4
BB	4200	13.9952	52.6572	160	139	2024-03-06	Märkisch-Oderland	Prötzel	E-138_4,2_MW_E5
BB	6800	13.8303	51.6418	165	163	2024-03-22	Elbe-Elster	Sallgast	N163-6.8_MW
BB	4200	14.217	52.5505	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg	V150
BB	4200	14.2365	52.5469	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg	V150
BB	4200	14.2358	52.557	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg	V150
BB	4200	14.2325	52.5494	166	150	2024-03-22	Märkisch-Oderland	Neuhardenberg	V150
BB	5600	12.2393	53.2096	165	152	2024-03-22	Prignitz	Gerdshagen	eno152_-_5,6MW
BB	4200	14.2215	52.5526	166	150	2024-03-27	Märkisch-Oderland	Neuhardenberg	V150
BB	5560	14.2465	52.1737	167	160	2024-03-31	Oder-Spree	Beeskow	E-160_EP_5_E3
BB	5560	14.2423	52.2014	167	160	2024-03-31	Oder-Spree	Beeskow	E-160_EP_5_E3
BB	5560	14.2465	52.1737	167	160	2024-03-31	Oder-Spree	Beeskow	E-160_EP_5_E3
BB	5560	14.2469	52.2047	167	160	2024-03-31	Oder-Spree	Beeskow	E-160_EP_5_E3
BB	5500	11.8289	53.1446	161	158	2024-04-10	Prignitz	Karstädt	GE_5.5-158
BB	3600	13.8978	53.345	166	126	2024-05-28	Uckermark	Prenzlau	Vestas_V126_HTq/126/3600
BB	5500	12.0953	52.9859	121	158	2024-06-28	Prignitz	Gumtow	GE_5.5-158
BB	6800	13.5336	52.6135	164	163	2024-07-23	Barnim	Ahrensfelde	Nordex_N163/6.X_Delta4000
BB	5600	12.2359	53.2121	165	152	2024-08-27	Prignitz	Gerdshagen	eno_152-5,6MW
BB	6200	12.4912	52.8356	169	162	2024-08-29	Ostprignitz-Ruppin	Neustadt	V_162-6.2_MW
BB	6200	12.4874	52.8383	169	162	2024-08-30	Ostprignitz-Ruppin	Neustadt	V_162-6.2_MW
BB	5600	13.2922	51.9717	169	162	2024-08-30	Teltow-Fläming	Schlenzer	V-162-5,6MW_STE
BB	5600	13.2935	51.975	169	162	2024-08-30	Teltow-Fläming	Schlenzer	V-162-5,6MW_STE
BB	6800	14.3709	52.4972	165	163	2024-09-18	Märkisch-Oderland	Vierlinden	N163-6.8_MW
BB	6000	12.1111	53.0017	169	150	2024-09-26	Prignitz	Gumtow	V150-6.0_MW
BB	5600	13.9823	53.2186	166	162	2024-09-26	Uckermark	Gramzow	V162
BB	5600	13.8396	52.696	166	150	2024-09-30	Märkisch-Oderland	Beiersdorf-Freudenberg	V150_5,6_MW
BB	5600	13.8484	52.6953	166	150	2024-09-30	Märkisch-Oderland	Beiersdorf-Freudenberg	V150_5,6_MW
BB	5600	13.973	53.2178	166	162	2024-09-30	Uckermark	Gramzow	V162
BB	5600	13.9803	53.2217	166	162	2024-10-07	Uckermark	Uckerfelde	V162
